Question,Products_name
какой нибудь сладкий десерт убрать грусть,"[""Рулетики с корицей""]"
Черный чай с чабрецом Small,"[""Черный чай с чабрецом Small""]"
"2 фондана, чего-нибудь сладкого на десерт","[""Фондан 2.0""]"
хочу пиццу и молочный коктейль,"[""Коктейль Клубничный 0.3"",""Пепперони Medium""]"
плтоно поесть не пицца,"[""Паста Карбонара""]"
Овощная (кусочки) Large,"[""Овощная (кусочки) Large""]"
хочу что-нибудь из детства,"[""Коктейль Классический 0.3""]"
сытная мясная пицца на компанию,"[""Мясной Микс с пастрами из говядины Medium""]"
Пицца Миксик Small,"[""Пицца Миксик Small""]"
3 пиццы от 999 ₽,"[""Ветчина и сыр Small"",""Пепперони Фреш Small"",""Сырная Small""]"
кофе и что-то сладкое,"[""Кофе Латте 0.4"",""Маффин Три шоколада""]"
Сырники с малиновым вареньем (тест завтраков)  Big,"[""Сырники с малиновым вареньем (тест завтраков)  Big""]"
попить газировку большого размера,"[""Добрый Кола Big""]"
"собери мне карзину из мясных продуктов, но не пиццы","[""Додстер"",""Супермясной Додстер"",""Сырный Стартер""]"
с грибами,"[""Ветчина и грибы Small"",""Грибной Стартер""]"
большую колу и покушать немножко,"[""Добрый Кола Big"",""Дэнвич чоризо барбекю""]"
"took a pizza but forgot the rest, give me something extra to order","[""Добрый Кола Big"",""Чесночный соус ""]"
обожаю рулетики и пеперони а также сыр,"[""Пепперони Фреш Medium"",""Рулетики с корицей"",""Сырная Medium"",""Чоризо фреш Medium""]"
мороженое в рожке,"[""Вафельный рожок 1.0""]"
Маффин Соленая карамель,"[""Маффин Соленая карамель""]"
сырники со сгущенкой,"[""Сырники со сгущенным молоком 30.0""]"
"4 medium pizzas, one of them is four seasons","[""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Пепперони Medium"",""Четыре сезона  Medium""]"
Кус Мясо и овощи,"[""Кус Мясо и овощи""]"
Омлет с беконом в пите,"[""Омлет с беконом в пите""]"
Сырный Стартер,"[""Сырный Стартер""]"
only 3500 rubles collect an order of pizzas with meat and mushrooms and cheese,"[""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Пепперони Medium"",""Четыре сезона  Medium""]"
Кус Маргарита (половинка),"[""Кус Маргарита (половинка)""]"
Мороженое в стаканчике с клубникой,"[""Мороженое в стаканчике с клубникой""]"
"Брауни, одна штука","[""Брауни""]"
большая кока кола и от шефа с говядиной маленькую,"[""Добрый Кола Big"",""Пицца от шефа Small""]"
"что-нибудь с мёдом и морквовью, но не пицца и не маффин","[""Додо тарт 80.0""]"
кофе и острое,"[""Острый Додстер"",""Кофе Латте 0.4""]"
Сок Rich Апельсин,"[""Сок Rich Апельсин""]"
добавь два разных соуса,"[""Барбекю соус Додо"",""Сырный соус Додо""]"
закуска с новым вкусом,"[""Додстер Карри""]"
одна гавайская пицца и большая картошечка ,"[""Гавайская с альфредо Medium"",""Картофель из печи с сырным соусом Big"",""Сырный соус Додо""]"
"три пиццы, одна с ветчиной","[""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Сырная Medium""]"
Цитрусовый чай с имбирем Big,"[""Цитрусовый чай с имбирем Big""]"
"dodster, salad and caramel cappuccino","[""Додстер"",""Кофе Карамельный Капучино 0.3"",""Салат Цезарь со смесью сыров (трекинг)""]"
Кофе Ореховый латте 0.4,"[""Кофе Ореховый латте 0.4""]"
Омлет с пепперони,"[""Омлет с пепперони""]"
у меня 1700 рублей 3 пиццы можно собрать,"[""Ветчина и грибы Medium"",""Домашняя Medium"",""Сырная Medium""]"
Пепперони Small,"[""Пепперони Small""]"
шавуху с кофе,"[""Кофе Латте 0.4"",""Додстер""]"
"Пиццу, закузку и для дочки что-то","[""Додо Микс Medium"",""Додстер"",""Пицца Миксик Small""]"
lingonberry-cranberry sticks,"[""Слоеные палочки с брусникой и клюквенным соусом 8.0""]"
"Собери мне пиццу с моцареллой, ветчиной, калбасками пепперони, кубиками брынзы, помедоры, грибы шампиньоны, ароатными итальянскими травами, фирменный томатный соус","[""Четыре сезона  Small""]"
пицца барбекю,"[""Пицца от шефа с барбекю Medium""]"
кола,"[""Добрый Кола Big""]"
Сок Rich Яблоко,"[""Сок Rich Яблоко""]"
Double Chick Small,"[""Двойной цыпленок Small""]"
Римская Пепперони (Тула) Small,"[""Римская Пепперони (Тула) Small""]"
кампот и салат,"[""Морс Клюква 0.45"",""Салат Цезарь со смесью сыров (трекинг)""]"
3 средние пиццы,"[""Ветчина и сыр Medium"",""Пепперони Фреш Medium"",""Чоризо фреш Medium""]"
"Комбо от 659 ₽ с ветчиной, моцарелойа, фирменным соусом альфредо","[""Ветчина и грибы Small"",""Додстер"",""Добрый Кола Big"",""Сырный соус Додо""]"
Пицца Пепперони фреш (тепловой шкаф) Small,"[""Пицца Пепперони фреш (тепловой шкаф) Small""]"
что едят смешарики,"[""Бруслетики"",""Фондан""]"
Пирожное Наполеон (тест СПБ),"[""Пирожное Наполеон (тест СПБ)""]"
"""бекон"",""митболы"",""пепперони"",""моцарелла"",""томаты"",""шампиньоны"",""перец"",""лук"",""чеснок"",""томатный соус"",""Сливочная моцарелла"",""Острый халапеньо"",""Нежный цыпленок"",""Свежие томаты"",""Маринованные огурчики"",""Соус барбекю""","[""Додо Small"",""Острый Додстер""]"
Додо додстер,"[""Додо Medium"",""Додстер""]"
обед на 5 человек,"[""Ветчина и грибы Large"",""Маргарита Medium"",""Мясная Large""]"
у меня 3000 рублей собери мне пицц не веганских,"[""Бургер-пицца Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Пепперони Medium""]"
несколько разных маленьких пицц одинакового размера на 5 людей,"[""Маргарита Small"",""Пепперони Фреш Small"",""Сырная Small""]"
"у нас есть 3000 рублей, собери нам заказ из пицц и закусок","[""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Картофель из печи"",""Маргарита Medium"",""Четыре сезона  Medium""]"
two small pizzas and a soda,"[""Аррива! Small"",""Добрый Кола Big"",""Цыпленок карри Small""]"
"мясное, но не пиццу","[""Додстер""]"
"необычная пицца, которую любили черепашки Ниндзя","[""Четыре сезона  Medium""]"
что-то острое и разнообразное,"[""Острый Додстер"",""Четыре сезона  Medium""]"
"""томатный соус"",""цыпленок"",""бекон"",""красный лук"",""моцарелла"",""соус Барбекю""","[""Цыпленок барбекю Large""]"
2 sauces,"[""Сырный соус Додо"",""Чесночный соус ""]"
Цыпленок барбекю (без свинины) Large,"[""Цыпленок барбекю (без свинины) Large""]"
Хочу лёгкий перекус,"[""Додстер""]"
Пиццу на 3х,"[""Бургер-пицца Medium"",""Ветчина и грибы Medium""]"
Додо Микс Large,"[""Додо Микс Large""]"
хочу пожрать что-нибудь сладкое и одну пасту с сыром,"[""Паста Мясная"",""Маффин Три шоколада""]"
"додстер для мамы, куриные кусочки для сына (дочки) и одна большая картошка из печи с сырным соусом","[""Додстер"",""Картофель из печи с сырным соусом Big"",""Куриные кусочки"",""Сырный соус Додо""]"
у меня 1000 рублей соберий одну большую пиццу и что-нибудь еще,"[""Двойная пепперони Large"",""Додстер""]"
2 пиццы уложиться в 1000 рублей,"[""Пепперони Фреш Small"",""Сырная Small""]"
Двойная пепперони Medium,"[""Двойная пепперони Medium""]"
"Говядина песто (кусочки, материнская) Large","[""Говядина песто (кусочки, материнская) Large""]"
Овощи и грибы Large,"[""Овощи и грибы Large""]"
Ветчина и сыр Medium,"[""Ветчина и сыр Medium""]"
Чоризо с овощами Римская Кусочками Small,"[""Чоризо с овощами Римская Кусочками Small""]"
много пицц на компанию средних можно с мясом и курицей,"[""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Четыре сезона  Medium""]"
Banana cocktail (freezer) 0.3,"[""Банановый коктейль (фризер) 0.3""]"
Макарон манго-маракуйя,"[""Макарон манго-маракуйя""]"
Дэнвич и напиток,"[""Дэнвич ветчина и сыр"",""Кофе Капучино 0.2""]"
"""томатный соус"",""цыпленок"",""бекон"",""красный лук"",""моцарелла"",""соус Барбекю"",""пикантная пепперони"",""ветчина"",""кубики брынзы"",""томаты"",""шампиньоны"",""итальянские травы""","[""Цыпленок барбекю Medium"",""Четыре сезона  Medium""]"
Подарочный сертификат 1500 ₽ (локальный маркетинг),"[""Подарочный сертификат 1500 ₽ (локальный маркетинг)""]"
Десерт к чаю,"[""Бруслетики""]"
Колбаски барбекю Large,"[""Колбаски барбекю Large""]"
акция в которой 3 пиццы от 799 ₽,"[""Пепперони Фреш Small"",""Сырная Small"",""Чоризо фреш Small""]"
кофе и додстер,"[""Додстер"",""Кофе Капучино 0.4""]"
мороженое с манго,"[""Сорбет Бразильская маракуйя и манго 1.0""]"
слоенки с ананасами и шоколадом,"[""Слоеные палочки с ананасами и шоколадным соусом 8.0""]"
Чизкейк Нью-Йорк (новая упаковка),"[""Чизкейк Нью-Йорк (новая упаковка)""]"
promotion in which 3 pizzas from 799 ₽,"[""Пепперони Фреш Small"",""Сырная Small"",""Чоризо фреш Small""]"
Двойной цыпленок Small,"[""Двойной цыпленок Small""]"
Сок Rich Яблоко,"[""Сок Rich Яблоко""]"
3 pizzas from 1199 ₽,"[""Ветчина и грибы Small"",""Пепперони Фреш Small"",""Сырная Small""]"
у меня немного 750 рублей хотел бы перккусить,"[""Бургер-пицца Small"",""Добрый Кола Big"",""Острый Додстер"",""Сырный соус Додо""]"
пицца для двоих и что-то сладкое,"[""Бруслетики"",""Пицца из половинок Large""]"
Мясная Large,"[""Мясная Large""]"
10 додстеров,"[""Додстер""]"
Додо Микс (без свинины) Small,"[""Додо Микс (без свинины) Small""]"
"ебани мне несколько пицц на 4 человека и 2 десерта для детей, жена не есть мясо","[""Бруслетики"",""Овощи и грибы Small"",""Пепперони Фреш Medium"",""Сырная Medium"",""Чизкейк Нью-Йорк (новая упаковка)"",""Чоризо фреш Medium""]"
Arriva! Medium,"[""Аррива! Medium""]"
Сырники со сгущенным молоком Big,"[""Сырники со сгущенным молоком Big""]"
пицца с курицей закуска и попить на двух человек с сырным ,"[""Двойной цыпленок Small"",""Добрый Кола Big"",""Додстер"",""Сырный соус Додо""]"
"Хочу настолько плотный завтрак, чтобы через него не прошла Spitzer-пуля калибра 8x51 мм из винтовки Лебеля образца 1886 г.","[""Сырная Large"",""Ветчина и сыр Large""]"
три маленьких пиццы под пивко,"[""Пепперони Фреш Small"",""Сырная Small"",""Чоризо фреш Small""]"
Пицца на компанию,"[""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Четыре сезона Medium""]"
2 пиццы и напиток,"[""Аррива! Small"",""Колбаски барбекю Small"",""Добрый Кола Big""]"
гавайская с альфредом и острый донер ,"[""Гавайская с альфредо Medium"",""Острый Додстер""]"
"Dodster, potatoes from the oven and a drink","[""Картофель из печи"",""Додстер"",""Добрый Кола Small""]"
"мне ариву и бургер, обе маленькие ","[""Аррива! Small"",""Бургер-пицца Medium""]"
Сырная Large,"[""Сырная Large""]"
небольшую мясную пиццу,"[""Мясная Small""]"
хочу позавтракать,"[""Малиновое варенье"",""Сырная Small"",""Сырники с малиновым вареньем""]"
"взял пицу, но забыл остальное, дайте еще дополнительно что-нибудь к заказу ","[""Добрый Кола Big"",""Чесночный соус ""]"
2 cheesecakes and a drink,"[""Кофе Капучино 0.2"",""Сырники без топпинга"",""Малиновое варенье""]"
самая острая пицца и одна домашняя среднего размера,"[""Диабло Medium"",""Домашняя Medium""]"
Королевскую пицца без мяса и еще одна с несколькими видами ссыра на троих человек,"[""Маргарита Medium"",""Четыре сыра Medium""]"
"Я хочу мясное, но не пиццу","[""Куриные кусочки"",""Супермясной Додстер""]"
Айс Капучино (NEW) (фризер) 0.3,"[""Айс Капучино (NEW) (фризер) 0.3""]"
"у меня плохое настроение нужна помощь, с карицей что-то бы","[""Бруслетики"",""Рулетики с корицей""]"
dodo dessert ,"[""Додо тарт""]"
2 desserts,"[""Маффин Соленая карамель"",""Маффин Соленая карамель""]"
суп,"[""Томатный суп с гренками""]"
Bacon BBQ Roman (4 pieces) Small,"[""Бекон BBQ Римская (4 кусочка) Small""]"
две маленькие неострые пиццы,"[""Ветчина и сыр Small"",""Карбонара Small""]"
Good Lime-Lemon 0.5,"[""Добрый Лайм-Лимон 0.5""]"
додстер,"[""Додстер""]"
что-нибудь на завтрак с кофе,"[""Кофе Латте 0.4"",""Малиновое варенье"",""Сырники с малиновым вареньем""]"
Кус Говядина песто Римская 4 шт (90 минут),"[""Кус Говядина песто Римская 4 шт (90 минут)""]"
что-нибудь из пицц на одного не веганская,"[""Ветчина и грибы Medium""]"
десертные слоенки с брусникой,"[""Слоеные палочки с ананасами и брусникой 8.0""]"
2 пиццы,"[""Аррива! Medium"",""Колбаски барбекю Medium""]"
десткий заказ для ребенка с большим колличеством брынзы,"[""Картофель из печи"",""Пицца Миксик Small""]"
много закусок подешевле,"[""Додстер"",""Додстер"",""Додстер"",""Додстер""]"
"Dodster, potatoes from the oven and a drink","[""Додстер"",""Картофель из печи"",""Добрый Кола Small""]"
чай с маленькой пиццей,"[""Rich Tea Черный с лимоном 0.5"",""Песто Small""]"
"""сырный соус"",""цыпленок"",""томаты"",""моцарелла"",""смесь сыров"",""соус альфредо"",""чеснок"",""смесь сыров чеддер и пармезан"",""блю чиз"",""альфредо""","[""Сырный цыпленок Medium"",""Четыре сыра Medium""]"
Римская Мясная (Тула) Small,"[""Римская Мясная (Тула) Small""]"
Электронная подарочная Додо–карта Big,"[""Электронная подарочная Додо–карта Big""]"
Додо Микс Medium,"[""Додо Микс Medium""]"
"Roman beef pesto 4 pcs (pieces, maternal) Small","[""Говядина песто Римская 4 шт (кусочки, материнская) Small""]"
Ham and mushrooms Small,"[""Ветчина и грибы Small""]"
"7 пицц, две из них без мяса","[""Четыре сезона  Medium"",""Бургер-пицца Medium"",""Ветчина и грибы Medium"",""Ветчина и сыр Medium"",""Двойной цыпленок Medium"",""Маргарита Medium"",""Пепперони Medium""]"
у нас праздник 4 человека пиццы с соусами,"[""Барбекю соус Додо"",""Пепперони Фреш Medium"",""Сырная Medium"",""Сырный соус Додо"",""Чесночный соус "",""Чоризо фреш Medium""]"
Сырный соус Додо,"[""Сырный соус Додо""]"
что-нибудь франзузское ,"[""Домашняя Medium"",""Пицца Жюльен Medium""]"
dodchster and latte,"[""Додстер"",""Кофе Латте 0.4""]"
Dodo Mix (without pork) Small,"[""Додо Микс (без свинины) Small""]"
фондан,"[""Фондан 2.0""]"
Морс Черная смородина 0.45,"[""Морс Черная смородина 0.45""]"
Три разных веганских пиццы,"[""Маргарита Medium"",""Овощи и грибы Medium"",""Четыре сыра Medium""]"
dodsters for the meat-eater man,"[""Супермясной Додстер"",""Супермясной Додстер""]"
пиццу для пикника на двоих,"[""Пепперони Small"",""Сырная Small""]"
two for the letter d,"[""Додо Large"",""Додстер""]"
Додстер Песто,"[""Додстер Песто""]"
пеперони с кофе,"[""Кофе Латте 0.4"",""Пепперони Фреш Medium""]"
"""бекон"",""митболы"",""пепперони"",""моцарелла"",""томаты"",""шампиньоны"",""перец"",""лук"",""чеснок"",""томатный соус"",""песто"",""цыпленок"",""брынза"",""альфредо""","[""Додо Medium"",""Песто Medium""]"
Пицца Жюльен Large,"[""Пицца Жюльен Large""]"
"мои дети любят на завтрак сырники с большим колличеством варенья, жена любит салат, а я бы съел бутерброд или сэндвич","[""Дэнвич ветчина и сыр"",""Малиновое варенье"",""Салат Цезарь со смесью сыров (трекинг)"",""Сырники с малиновым вареньем""]"
Салат Цезарь со смесью сыров (трекинг) (ПФ),"[""Салат Цезарь со смесью сыров (трекинг) (ПФ)""]"
"собери мне заказ без додстера, без пиццы и без десерта. только напиток и что-то еще","[""Морс Клюква 0.45"",""Песто Small""]"
маленькую порцию пирожных со сгущенкой,"[""Бруслетики 130.0""]"
мне бвстро перекустить что-нибудь с мясом,"[""Супермясной Додстер""]"
только одинаковые размеры пиццы на 3 человек. ,"[""Ветчина и грибы Medium"",""Пепперони Фреш Medium""]"
Rustic boiled pork Large,"[""Деревенская с бужениной Large""]"
Ready-made large Pepperoni at a special price,"[""Пепперони Large"",""Пепперони Large""]"
2 Стартера со скидкой,"[""Грибной Стартер"",""Сырный Стартер""]"
2 Додстера чтобы было дешево,"[""Додстер"",""Острый Додстер""]"
соус с чесноком,"[""Чесночный соус ""]"
"На тонком тесте, острую, с томатной основой","[""Диабло Large""]"
3 пиццы от 849 ₽,"[""Чоризо фреш Small"",""Сырная Small"",""Пепперони Фреш Small""]"
сладкая пицца и острая закуска,"[""Гавайская с альфредо Small"",""Острый Додстер""]"
2 Coffee: Latte,"[""Кофе Латте 0.4"",""Кофе Латте 0.4""]"
Кус Цыпленок барбекю (половинка),"[""Кус Цыпленок барбекю (половинка)""]"
клубничный коктейль,"[""Коктейль Клубничный 0.3""]"
Fork (not from food),"[""Вилка""]"
"Я хочу мясное, но не пиццу","[""Куриные кусочки"",""Супермясной Додстер""]"
Dodo (without pork) Large,"[""Додо (без свинины) Large""]"
хочу легкую закуску с сыром,"[""Сырный Стартер"",""Сырная Small""]"
